10:55,3.5,7.5,6,29.2,8.5,38.3,2762.7,2301.9
11:00,3.5,7.5,6,29.8,8.5,38.3,2762.7,2301.9
11:05,3,7.5,6,27.6,8.5,36.1,2762.7,2274.2
11:10,3.5,8,6,29.8,10,39.8,2762.7,2241.5
11:15,2.7,7.5,6,26.2,8.5,34.7,2762.7,2254.7
11:20,3.2,8,6,28.5,8.7,38.5,2762.7,2224.2
11:25,2.4,8,6,24.7,10,34.7,2762.7,2166.1
11:30,2.4,8,6,24.7,10,34.7,2762.7,2166.1
11:35,2.4,8,6,24.7,10,34.7,2762.7,2166.1
11:40,1.2,7.5,6,17.6,10,26.1,2762.7,2087.1
11:45,1.8,7.5,6,21.5,8.5,30,2762.7,2174.5
11:50,2.1,7.5,6,23.2,8.5,31.7,2762.7,2205.9
11:55,2.1,7.5,6,23.2,8.5,41.7,2762.7,2205.9
12:00,2.4,7.5,6,24.7,8.5,33.3,2762.7,2232.2
12:05,2.7,8,6,26.2,8.5,36.2,2762.7,2190.3
12:10,3.5,8,6,29.8,10,39.8,2762.7,2241.5
12:15,2.7,7.5,6,26.2,10,34.7,2762.7,2254.7
12:20,3,8,6,27.6,8.5,37.6,2762.7,2211.5
12:25,3,8,6,27.6,10,37.6,2762.7,2211.5
12:30,3.5,8,6,29.8,10,39.8,2762.7,2241.5
12:35,3.5,8,6,29.8,10,39.8,2762.7,2241.5
12:40,2.4,7.5,6,24.7,10,33.3,2762.7,2232.2
12:45,2.7,7.5,6,26.2,8.5,34.7,2762.7,2254.7
12:50,2.4,7.5,6,24.7,8.5,33.3,2762.7,2232.2
12:55,2.1,7.5,6,23.2,8.5,31.7,2762.7,2205.9
